1980,5596
11283,11521
5317,6797
1542,17088
11064,14454
12155,15471
3938,11064
4306,15124
14550,17157
4306,12317
3106,11283
13195,14691
4306,14367
5317,7617
4306,16765
12317,16765
13763,14538
5317,16879
11064,11283
5760,8116
11521,15107
5092,17682
6797,14312
9728,11283
7635,16707
4432,11064
607,1905
14928,17154
4098,15014
8387,14313
1145,5317
11337,17088
571,2095
16765,17560
5926,17157
2095,4656
4098,14031
607,16954
5317,14312
5582,9628
11677,14691
1220,14454
1905,14410
4432,16954
6972,12918
4306,16879
8782,13359
8387,12582
1905,16954
11283,14691
2862,11283
8235,9135
12232,12582
4306,11283
2984,9622
571,14538
1542,16139
571,13763
4306,14410
14410,16668
2628,15372
12870,16954
5317,15107
10123,14590
3438,6249
985,16377
2452,11521
5582,16265
3860,3962
3106,6206
2152,3962
5222,15821
4656,16139
11064,14691
11089,11337
2452,16954
8468,17307
4640,13763
2782,14410
4996,13391
8687,14712
2862,5317
14550,16384
607,16384
11164,15070
4306,15107
10358,11077
5054,9960
1730,13170
6613,8998
3427,6196
1905,11283
14691,16954
4789,9644
2095,16139
9628,16265
14240,14961
2782,5317
1905,2862
8869,9836
4306,16668
11283,16384
1180,16879
6134,15107
607,16242
8644,14550
12317,14590
11337,16879
571,4656
607,4432
4432,6037
2452,14691
571,17088
191,11443
2452,11283
8387,15107
10709,14286
1905,4432
4656,7624
3427,15124
11064,16384
10042,11089
6196,14312
2372,16882
7057,14961
14590,15124
7624,12918
14590,16765
10764,16937
6797,6971
14691,16384
11521,14240
2782,2862
4306,13728
1905,4306
11064,13195
4306,13081
7230,14961
6206,11283
2372,3860
5496,10168
14313,15107
12317,16882
15124,16765
2862,4306
6037,12911
2452,14240
6196,11781
571,1865
9960,16128
2057,14031
1350,14288
12317,15124
2095,11089
11089,14410
6287,14574
5926,16954
14691,16242
8226,14031
14410,15124
15107,16879
3938,15124
571,16139
571,11337
1220,6206
752,5326
3860,17355
8869,12242
2095,15393
11283,13195
4330,14574
3860,16882
7624,12470
11064,15124
11677,16242
7057,7230
11337,17308
2095,14410
14214,15727
2122,5614
1962,2452
3427,14312
14367,16668
10042,11781
3860,8644
7400,14058
3860,12317
1145,7617
11064,15062
607,14550
4306,6134
14367,14410
209,14214
7057,14240
1905,15124
6971,14780
7430,10080
457,571
15393,16139
3860,15062
6386,17308
